username,full_text,predicted_label,probability_emotion
AzahraDean19363,@infomalang selamat pagi min minta tolong infoin kursus mandarin yg budget mahasiswi di malang plstrimakasih,Neutral,0.539192259311676
apiekluvdan,@danu_kata @kaveits First impression utk yg baru lulus kuliah spy dipanggil HR utk interview itu IPK kak. Baru dilihat sertifikat2 kursus dll. Dilihat lama kuliahnya aja bisa jadi concern HR koq,Neutral,0.6465451121330261
ataulalaa,Kursus Pendidikan Agama https://t.co/0YTwfKFUf0,Anger,0.31188029050827026
dabudabu6969,@imminenotyours_ @innovacommunity Biasanya belajar nyetir di kursus nyetir dibawa ke tanah lapang. Diajari fungsi2 mobil &amp; diajari parkir,Anger,0.30366387963294983
dabudabu6969,@innovacommunity Paling bener ikut kursus dah,Anger,0.3109758496284485
SPELLhaechan,@DOHWANwarga @agenHAHAHA Gua kursus bahasa handy,Neutral,0.4589959383010864
mksevent,Halo semuanya! Mau liburan kali ini jadi lebih produktif? Yuk gabung di kelas online bahasa asing yang bakal dimulai bulan Juli ini! Kursus bahasa inggris online Cara Daftar 1. Klik link di bio ig @ecotion.co atau bisa juga hub kami di WA (0882020967503) https://t.co/18w733Ui2d,Joy,0.4474790096282959
gabutajaheheheh,Hari pertama kursus gabisa tidur plis jangan tiba² kuis ,Joy,0.5132904648780823
dosm_johor,Puan Mazreha Ya akub Pengarah DOSM Johor berpeluang menyampaikan taklimat mengenai Banci Pertanian 2024 kepada peserta kursus teknologi pengendalian lepas tuai komoditi pisang bersempena Karnival Agromadani @ Pasar Tani Kekal Datin Halimah.,Neutral,0.3351489305496216
dosm_johor,TAKLIMAT BANCI PERTANIAN KEPADA PESERTA KURSUS TEKNOLOGI PENGENDALIAN LEPAS TUAI KOMODITI PISANG 29 JUN 2024 https://t.co/ootN2rksDV,Anger,0.3445436954498291
faqihsyakiran,Tu penting nya education dik. Sila dapatkan kursus asas perniagaan anda di NTW by HRDcorp . Untuk maklumat lebih lanjut sila layari https://t.co/zd1JYYZr6q,Anger,0.3109758496284485
KosmikDebu49037,@ParadiseCoupl Ad kursus tato menato gk sih,Neutral,0.8282589316368103
junmyeonicotton,Aku baru tahu non muslim ada kursus kawen macam muslim juga. Bezanya kita 2 hari pack. Die org 10 session (maybe per session 2 hrs. Not sure),Anger,0.6876944303512573
sunghoteknik,@keishastudy nggaak aku lagi kursus di kampung inggris,Anger,0.3379817306995392
PringGading92,@choymarkochoy Bener itu Gus...dr Walkot langsung Wapres ity berat jd lbh baik belajar level Gubernur dulu...syukur2 kalo mo magang dulu 6 - 12 bln sbg Gubernur. *eh seriusan beliau msh sempat kursus singkat leadership (mis. di Westpoint USA) 3 bln aja sdh lumayan banget,Anger,0.5174301266670227
rumah_kopii,Promo Kursus Barista Jadwal Bebas / Kelas Privat / Ke Lokasi Peserta Cek Profil Kami https://t.co/CadT1QDlFX https://t.co/6pnsECg0E2,Neutral,0.5002377033233643
AndiEnvio,@UpdateBolabola ....utk proyek jangka panjang sepertinya PSSI perlu mendatangkan pelatih akademi terbaik Eredivisie utk menyelaraskan dg byk bakat diaspora di U-19 ini yg bkl jadi pemain masa depan di timnas senior...Coach IS Bima dkk mantapkan utk ambil kursus dlu...,Love,0.2941870093345642
arabtenang,Oke gua baru ngeh kalau gua lg ngalamin krisis identitas perihal karir. Gua s1 s2 ambil jurusan manajemen keuangan. Mau mulai kerja lagi di bagian finance &amp; accounting. Tapi gua ngambil kursus brevet AB. Kekkk .. apasiiiiii ,Anger,0.41714242100715637
heyardians,Kayaknya kudu kursus bahasa mandarin,Anger,0.5043335556983948
for_reaallll,@diary_gael aku buka gael,Neutral,0.4381992518901825
noblueberryice,sebenarnya ini libur bisa aku manfaatin dngn blajar bawa mobil tp EMOHH ah belajarnya psti sama papa (soalnya di kampung gadk kursus mengemudi) trus nnti bayarannya pake mental mama aja gak mau diajarin papa.,Neutral,0.8105694651603699
kelassbmptn,Informasi Kursus persiapan SKD CPNS Sekolah Kedinasan (SEKDIN) 2024 informasi kursus persiapan TWK TIU dan TKP 2024 : https://t.co/QuvToLB19R https://t.co/dm57AYLpiw,Joy,0.5315866470336914
for_reaallll,@tanyarlfes lebih ke feel so unnecessary ga si kek... ini hubungan ada tapi komunikasinya ga ada harus bgt gue nyari nyariin an adult macem lagi urus anak kecil yg masih clueless tentang banyak hal???,Joy,0.2743028402328491
pandoewardana,pengen dah kursus barber sama bikin martabak telor,Joy,0.2921169102191925
for_reaallll,@goodquotesid KAYAAAA,Neutral,0.2738514542579651
dimasprasetiaaa,Dear Ara 29 June 2024 Salary Abi mu sekarang lagi 2 digit. kurang dari sebulan lagi kamu lahir Abi bakal kursus teknisi biar buka usaha sendiri biar bisa liat tumbuh kembang kamu.. sebenernya kalau Abi stay kerja disini hidup ku enak tapi Abi ga mau terlewati masa kamu #MyGvrl,Joy,0.2786133289337158
kelassbmptn,Pendaftaran kursus PPMB SMUA Unair Materi belajar : TPA Unair TKA Saintek dan Soshum https://t.co/bR22HcWLlr https://t.co/OYurh3df7g,Neutral,0.5046267509460449
wxngjanim,Tengah scroll gambar-gambar kursus. Asa salah sorang peserta tu mengingatkan saya dekat ikan keli hahahaah,Neutral,0.3747817277908325
ggbdlprmn,@innovacommunity Ada temen ikut paket kursus nyetir + SIM. Sebelum kursusnya selesai dan bisa nyetir SIM-nya udah jadi duluan . Alhasil pas mau keluar parkir di basement pintu belakang full baret dan penyok kena pilar. Habis 1 6 juta buat benerin. Lenih mahal daripada kursusnya,Sad,0.6085606217384338
portalinfomase,Eksplorasi Ilmu Tanpa Batas Inilah 20 Kampus Top Dunia yang Menyediakan Kursus Online Gratis #20KampusTopDunia https://t.co/5LbTv0u2rK,Neutral,0.5631170868873596
salimsyalmz,setelah kejadian 100 meter di mobil otid kemarin gua jadi makin semangat belajar mobil infokan tempat kursus mobil di bandung dong,Neutral,0.5578339695930481
shecahh,Haritu kursus bls aku dah kena sekali kursus nrp nama aku juga yang naik. Penatlah nak rasa nervous and anxious lagi ,Neutral,0.5275047421455383
xlovine,@tanyarlfes Ikut kursus,Neutral,0.3011053800582886
kumsaja,@tanyarlfes Coba kursus singkat. Yg cuma pas weekend gitu juga bisa. Kakakku sering ikut kelas baking pas weekend. Sekarang udah pinter bikin kue. Udah mulai jualan kue kecil2an. Bisa cari kursus yg sesuai minat sender.,Neutral,0.40436887741088867
okaselalubenar,BJIR CRUSH GW PUNYA BLOG DR 2011 ISINYA BELAJAR KOMPUTER GT. KEREN BGT SIH PLS PACARIN GW GAK LO (Sampe gw copas linknya trs tar mau belajar jg. Nyesel gw capek-capek kursus komputer. Ternyata ayang bisa) HAHAHAHAHAHAHAHAAHAHAHAHAHAHAHAHAHAHAHAHAHAHAH,Neutral,0.4075232148170471
hanggoro_phwkm,@5teV3n_Pe9eL Payah ki pak polisinya kalau P coret dilarang Parkir dan Kalau S coret dilarang Berhenti Ini Polisinya di suruh kursus rambu2 Lalulintqs di Polda dulu . ,Neutral,0.8070017695426941
MbahJen25834471,@timtam1070946 @kegblgnunfaedh Aq jadi pengin cerita waktu merantau di Jakarta thn 2002 pas sampai Jkt terkepung banjir. Terus numpang di rumah sodara sambil kursus dan cari kerja. Setelah 2 thn baru dapat kerja tetap dgn gaji di bawah UMR. Terus aq tekuni sambil tiap tahun nglamar PNS yg sesuai jurusan.,Fear,0.42403027415275574
sapilembang,@raiberlari open kursus nih,Neutral,0.4034481942653656
farhanhelmycode,@catqeel @bukanarepnaz @azwan_ hang yg select tak ajak gi kursus kawin,Neutral,0.38501954078674316
SirMidklas,Klo hari pertama kursus mobil lgsung ujan deres artinya apa temen-temen?,Sad,0.2390935868024826
Dicky_Zman,@innovacommunity Kursus stir kebanyakan langsung dijalan raya min enggak pernah 1-2 hari di lapangan dulu buat latihan biar terbiasa megang stir ama pindah gigi,Neutral,0.24977552890777588
wintersleave,Lo kalo butuh kursus pembendaharaan kata telepon gue aja bro. Nanti gue kirim CV,Anger,0.7375599145889282
aulshere,dia gatau aja dulu gue buka kursus spotify (krna dulu masi byk yg ga ngerti bahkan skedar buat join SH) buat streaming mengapa sama bunga hati dengan cara yg baik dan benar ,Sad,0.5528456568717957
Black_Envy09,@detikcom Buka kursus aja bahasa semut dan jin menarik loh ini?,Anger,0.2972748279571533
AntonySusan3,@wong_w4r4s @makLambeTurah Zaman dimana kursus ITC WS Lotus 123 &amp; DBase III+ bawa Disket 5.5 Merk 3M. Disket DOS wajib punya printernya Epson Dot Matrix ...,Anger,0.3109758496284485
bibitbobotbebeb,@xeluvel rencananya gituu soalnya parah kali lah ak ni kalo ga ambil kursus gitu,Anger,0.37565183639526367
abesoolover1,ada ke kursus tvet yang setahun gitu? nak jugak ada sijil kemahiran ,Neutral,0.27630534768104553
eunoiasun,1. Nail polish set (yg aku wl dr abis open nail art) 2. kursus nail art biar dpt sertif 3. beli perlengkapan studio nail art 4. beli baju baru buat aku sm bocil 5. beli perabotan baru,Joy,0.8267039656639099
J0YCELLINE,@tvOneNews Duh kalo udah sugih gitu mah buuuu mending jadi pengusaha atau sekolahin anak yang tinggi kursus kan les kan biar pintar cerdas berguna. Masuk ke kolam curut buat apaaa???? Buat gagah doang???,Sad,0.42495498061180115
cockatoocourse,@soonbagp hayuu kak mulai belajar bahasa korea semangat ,Joy,0.9797856211662292
cockatoocourse,@skurzckyy semangat kak belajarnya ,Joy,0.8864994049072266
cockatoocourse,@rkrivess yay banget kak,Anger,0.2776256799697876
