username,full_text,predicted_label,probability_emotion
AzahraDean19363,@infomalang selamat pagi min minta tolong infoin kursus mandarin yg budget mahasiswi di malang plstrimakasih,Joy,0.5017470717430115
apiekluvdan,@danu_kata @kaveits First impression utk yg baru lulus kuliah spy dipanggil HR utk interview itu IPK kak. Baru dilihat sertifikat2 kursus dll. Dilihat lama kuliahnya aja bisa jadi concern HR koq,Joy,0.72129225730896
ataulalaa,Kursus Pendidikan Agama https://t.co/0YTwfKFUf0,Anger,0.2661615312099457
dabudabu6969,@imminenotyours_ @innovacommunity Biasanya belajar nyetir di kursus nyetir dibawa ke tanah lapang. Diajari fungsi2 mobil &amp; diajari parkir,Neutral,0.41173702478408813
dabudabu6969,@innovacommunity Paling bener ikut kursus dah,Anger,0.4733671247959137
SPELLhaechan,@DOHWANwarga @agenHAHAHA Gua kursus bahasa handy,Joy,0.2942422032356262
mksevent,Halo semuanya! Mau liburan kali ini jadi lebih produktif? Yuk gabung di kelas online bahasa asing yang bakal dimulai bulan Juli ini! Kursus bahasa inggris online Cara Daftar 1. Klik link di bio ig @ecotion.co atau bisa juga hub kami di WA (0882020967503) https://t.co/18w733Ui2d,Anger,0.6299033761024475
gabutajaheheheh,Hari pertama kursus gabisa tidur plis jangan tiba² kuis ,Neutral,0.6830330491065979
dosm_johor,Puan Mazreha Ya akub Pengarah DOSM Johor berpeluang menyampaikan taklimat mengenai Banci Pertanian 2024 kepada peserta kursus teknologi pengendalian lepas tuai komoditi pisang bersempena Karnival Agromadani @ Pasar Tani Kekal Datin Halimah.,Neutral,0.6863723397254944
dosm_johor,TAKLIMAT BANCI PERTANIAN KEPADA PESERTA KURSUS TEKNOLOGI PENGENDALIAN LEPAS TUAI KOMODITI PISANG 29 JUN 2024 https://t.co/ootN2rksDV,Joy,0.36840420961380005
faqihsyakiran,Tu penting nya education dik. Sila dapatkan kursus asas perniagaan anda di NTW by HRDcorp . Untuk maklumat lebih lanjut sila layari https://t.co/zd1JYYZr6q,Joy,0.430442750453949
KosmikDebu49037,@ParadiseCoupl Ad kursus tato menato gk sih,Neutral,0.3551141917705536
junmyeonicotton,Aku baru tahu non muslim ada kursus kawen macam muslim juga. Bezanya kita 2 hari pack. Die org 10 session (maybe per session 2 hrs. Not sure),Anger,0.27498528361320496
sunghoteknik,@keishastudy nggaak aku lagi kursus di kampung inggris,Neutral,0.35377517342567444
PringGading92,@choymarkochoy Bener itu Gus...dr Walkot langsung Wapres ity berat jd lbh baik belajar level Gubernur dulu...syukur2 kalo mo magang dulu 6 - 12 bln sbg Gubernur. *eh seriusan beliau msh sempat kursus singkat leadership (mis. di Westpoint USA) 3 bln aja sdh lumayan banget,Neutral,0.4312502443790436
rumah_kopii,Promo Kursus Barista Jadwal Bebas / Kelas Privat / Ke Lokasi Peserta Cek Profil Kami https://t.co/CadT1QDlFX https://t.co/6pnsECg0E2,Joy,0.41117721796035767
AndiEnvio,@UpdateBolabola ....utk proyek jangka panjang sepertinya PSSI perlu mendatangkan pelatih akademi terbaik Eredivisie utk menyelaraskan dg byk bakat diaspora di U-19 ini yg bkl jadi pemain masa depan di timnas senior...Coach IS Bima dkk mantapkan utk ambil kursus dlu...,Joy,0.48428067564964294
arabtenang,Oke gua baru ngeh kalau gua lg ngalamin krisis identitas perihal karir. Gua s1 s2 ambil jurusan manajemen keuangan. Mau mulai kerja lagi di bagian finance &amp; accounting. Tapi gua ngambil kursus brevet AB. Kekkk .. apasiiiiii ,Neutral,0.46380043029785156
heyardians,Kayaknya kudu kursus bahasa mandarin,Anger,0.27402570843696594
for_reaallll,@diary_gael aku buka gael,Neutral,0.6270862221717834
noblueberryice,sebenarnya ini libur bisa aku manfaatin dngn blajar bawa mobil tp EMOHH ah belajarnya psti sama papa (soalnya di kampung gadk kursus mengemudi) trus nnti bayarannya pake mental mama aja gak mau diajarin papa.,Joy,0.4892433285713196
kelassbmptn,Informasi Kursus persiapan SKD CPNS Sekolah Kedinasan (SEKDIN) 2024 informasi kursus persiapan TWK TIU dan TKP 2024 : https://t.co/QuvToLB19R https://t.co/dm57AYLpiw,Neutral,0.2549848258495331
for_reaallll,@tanyarlfes lebih ke feel so unnecessary ga si kek... ini hubungan ada tapi komunikasinya ga ada harus bgt gue nyari nyariin an adult macem lagi urus anak kecil yg masih clueless tentang banyak hal???,Love,0.31157374382019043
pandoewardana,pengen dah kursus barber sama bikin martabak telor,Joy,0.4009590148925781
for_reaallll,@goodquotesid KAYAAAA,Joy,0.39616239070892334
dimasprasetiaaa,Dear Ara 29 June 2024 Salary Abi mu sekarang lagi 2 digit. kurang dari sebulan lagi kamu lahir Abi bakal kursus teknisi biar buka usaha sendiri biar bisa liat tumbuh kembang kamu.. sebenernya kalau Abi stay kerja disini hidup ku enak tapi Abi ga mau terlewati masa kamu #MyGvrl,Neutral,0.39763709902763367
kelassbmptn,Pendaftaran kursus PPMB SMUA Unair Materi belajar : TPA Unair TKA Saintek dan Soshum https://t.co/bR22HcWLlr https://t.co/OYurh3df7g,Anger,0.32899728417396545
wxngjanim,Tengah scroll gambar-gambar kursus. Asa salah sorang peserta tu mengingatkan saya dekat ikan keli hahahaah,Anger,0.278857558965683
ggbdlprmn,@innovacommunity Ada temen ikut paket kursus nyetir + SIM. Sebelum kursusnya selesai dan bisa nyetir SIM-nya udah jadi duluan . Alhasil pas mau keluar parkir di basement pintu belakang full baret dan penyok kena pilar. Habis 1 6 juta buat benerin. Lenih mahal daripada kursusnya,Neutral,0.6078954339027405
portalinfomase,Eksplorasi Ilmu Tanpa Batas Inilah 20 Kampus Top Dunia yang Menyediakan Kursus Online Gratis #20KampusTopDunia https://t.co/5LbTv0u2rK,Anger,0.29850584268569946
salimsyalmz,setelah kejadian 100 meter di mobil otid kemarin gua jadi makin semangat belajar mobil infokan tempat kursus mobil di bandung dong,Joy,0.7209472060203552
shecahh,Haritu kursus bls aku dah kena sekali kursus nrp nama aku juga yang naik. Penatlah nak rasa nervous and anxious lagi ,Anger,0.2521902024745941
xlovine,@tanyarlfes Ikut kursus,Joy,0.39616239070892334
kumsaja,@tanyarlfes Coba kursus singkat. Yg cuma pas weekend gitu juga bisa. Kakakku sering ikut kelas baking pas weekend. Sekarang udah pinter bikin kue. Udah mulai jualan kue kecil2an. Bisa cari kursus yg sesuai minat sender.,Neutral,0.4872577488422394
okaselalubenar,BJIR CRUSH GW PUNYA BLOG DR 2011 ISINYA BELAJAR KOMPUTER GT. KEREN BGT SIH PLS PACARIN GW GAK LO (Sampe gw copas linknya trs tar mau belajar jg. Nyesel gw capek-capek kursus komputer. Ternyata ayang bisa) HAHAHAHAHAHAHAHAAHAHAHAHAHAHAHAHAHAHAHAHAHAHAH,Joy,0.7120763659477234
hanggoro_phwkm,@5teV3n_Pe9eL Payah ki pak polisinya kalau P coret dilarang Parkir dan Kalau S coret dilarang Berhenti Ini Polisinya di suruh kursus rambu2 Lalulintqs di Polda dulu . ,Sad,0.430215060710907
MbahJen25834471,@timtam1070946 @kegblgnunfaedh Aq jadi pengin cerita waktu merantau di Jakarta thn 2002 pas sampai Jkt terkepung banjir. Terus numpang di rumah sodara sambil kursus dan cari kerja. Setelah 2 thn baru dapat kerja tetap dgn gaji di bawah UMR. Terus aq tekuni sambil tiap tahun nglamar PNS yg sesuai jurusan.,Joy,0.4239751100540161
sapilembang,@raiberlari open kursus nih,Joy,0.29981309175491333
farhanhelmycode,@catqeel @bukanarepnaz @azwan_ hang yg select tak ajak gi kursus kawin,Joy,0.3952658474445343
SirMidklas,Klo hari pertama kursus mobil lgsung ujan deres artinya apa temen-temen?,Neutral,0.5429907441139221
Dicky_Zman,@innovacommunity Kursus stir kebanyakan langsung dijalan raya min enggak pernah 1-2 hari di lapangan dulu buat latihan biar terbiasa megang stir ama pindah gigi,Joy,0.6304089426994324
wintersleave,Lo kalo butuh kursus pembendaharaan kata telepon gue aja bro. Nanti gue kirim CV,Anger,0.5006728768348694
aulshere,dia gatau aja dulu gue buka kursus spotify (krna dulu masi byk yg ga ngerti bahkan skedar buat join SH) buat streaming mengapa sama bunga hati dengan cara yg baik dan benar ,Fear,0.3306716978549957
Black_Envy09,@detikcom Buka kursus aja bahasa semut dan jin menarik loh ini?,Neutral,0.583438515663147
AntonySusan3,@wong_w4r4s @makLambeTurah Zaman dimana kursus ITC WS Lotus 123 &amp; DBase III+ bawa Disket 5.5 Merk 3M. Disket DOS wajib punya printernya Epson Dot Matrix ...,Neutral,0.4712367653846741
bibitbobotbebeb,@xeluvel rencananya gituu soalnya parah kali lah ak ni kalo ga ambil kursus gitu,Sad,0.6386627554893494
abesoolover1,ada ke kursus tvet yang setahun gitu? nak jugak ada sijil kemahiran ,Joy,0.3749823272228241
eunoiasun,1. Nail polish set (yg aku wl dr abis open nail art) 2. kursus nail art biar dpt sertif 3. beli perlengkapan studio nail art 4. beli baju baru buat aku sm bocil 5. beli perabotan baru,Joy,0.6441318988800049
J0YCELLINE,@tvOneNews Duh kalo udah sugih gitu mah buuuu mending jadi pengusaha atau sekolahin anak yang tinggi kursus kan les kan biar pintar cerdas berguna. Masuk ke kolam curut buat apaaa???? Buat gagah doang???,Anger,0.3273601531982422
cockatoocourse,@soonbagp hayuu kak mulai belajar bahasa korea semangat ,Joy,0.858960747718811
cockatoocourse,@skurzckyy semangat kak belajarnya ,Joy,0.9945622086524963
cockatoocourse,@rkrivess yay banget kak,Joy,0.38586241006851196
frnayouchaja,Kursus bahasa Jerman dari 0 murah. DM yap.,Anger,0.3913631737232208
jeJAKAki,Gahmen baek banget dah sm PR dan warlok kursus DJ aja bisa up to 70% dibayarin https://t.co/ppa15sn1Tb,Anger,0.3863467574119568
qtersipu,@miyaoew aku buka kursus,Neutral,0.6534966230392456
imminenotyours_,@innovacommunity Jawaban beliau nanti juga sambil jalan kamu paham. Setelah lulus dari kursus mengemudi(dapet sim) masih banyak gak ngertinya. Kalo dijalan sering nelfon abang(anggota ic) perkara mobil juga masih banyak gak tau aturan berkendara-,Neutral,0.6492248773574829
studyinfohub,DIPLOMA PENDIDIKAN AWAL KANAK-KANAK Program yang melatih pelajar bagaimana membimbing menjaga mengasuh dan mendidik kanak-kanak. Pelajar juga akan memperolehi sijil kursus asuhan&amp;didikan awal kanak-kanak PERMATA. https://t.co/qbaHP9FK5o,Joy,0.4292270243167877
telkomselorbits,duh deg degan banget disuruh kursus nyetir testinya dong guys,Anger,0.40342462062835693
Kelas_ppds,Informasi kursus persiapan UPDA dan ELPT ITB Juni 2024 https://t.co/51FaEU4dZ1 #kelastpatoefl #smitb #kursusupdaitb #lesupdaitb #leselptitb #kursuselptitb https://t.co/YjOI6qBAJO,Anger,0.29936835169792175
ChunSing234,Info latihan/kursus boxing atau beladiri di Semarang. Yang affordable #gaysemarang,Neutral,0.3332454264163971
Kelas_ppds,Pendaftaran kursus persiapan tes SIMAK UI S2 S3 PPDS Profesi dan PPDGS 2024 https://t.co/ziecESQAUq #kursustpaui #kursussimakui #lessimakui #ppdsui #kelastpatoefl #kursuseptui #leseptui https://t.co/tICgGdo3tL,Anger,0.2977747619152069
masak_kursus,Menerima Pesanan Nasi Kotak *dengan materi Nasi kotak* ▪︎Nasi putih ▪︎Iga Bakar ▪︎Ayam Goreng ▪︎oseng sayur ▪︎Bali telor ▪︎Krupuk ▪︎Jeruk ▪︎Roti abon pedas Yuk Action Sekarang ! Info dan pendaftaran Hub. Call Center: 0813 3111 0046 Admin 1: 0882 1726 8680 https://t.co/1akaKz0yMV,Neutral,0.5203793048858643
masak_kursus,Kursus Masak Sidoarjo Swansh Culinary* Yukk action sekarang Kursus Masak *dengan materi* ▪︎Bebek Goreng ▪︎Ayam Goreng ▪︎Ikan Bakar ▪︎Udang saos asam manis ▪︎Kepiting saos padang ▪︎ Sambal Terasi dan Sambal lamongan https://t.co/xGf9eHIE91,Neutral,0.7825577855110168
masak_kursus,Kursus Masak Sidoarjo Swansh Culinary Tanpa Harus Banyak Mencoba Resep-Resep Yang Menguras Waktu Tenaga Biaya dan Pikiran Anda. *Rawon Soto Daging empal ayam suwir jeroan ( babat paru usus)* dan tips tips yang tidak akan anda dapatkan di Tempat kursus masak Lain https://t.co/oMiKUTqssd,Neutral,0.6587492823600769
masak_kursus,Kursus Masak Sidoarjo Swansh Culinary* Kursus Masak *dengan materi* ▪︎Nasi pecel lengkap ▪︎ Rawon ▪︎ Lodeh ▪︎ Es Dawet Yuk Action Sekarang ! Info dan pendaftaran Hub. Call Center: 0813 3111 0046 Admin 1: 0882 1726 8680 (wiwin) Admin 2 : 0877 0889 5497 (Wiwin) https://t.co/mJQxlYSs2Z,Neutral,0.6494244337081909
masak_kursus,Kursus Masak Sidoarjo Swansh Culinary Tanpa Harus Banyak Mencoba Resep-Resep Yang Menguras Waktu Tenaga Biaya dan Pikiran Anda. *Sapo tahu chicken saos teriyaki cumi saos lada hitam asem2 Daging/Iga* dan tips tips yang tidak akan anda dapatkan di Tempat kursus masak Lain https://t.co/cgXGFHXroj,Neutral,0.7725794315338135
masak_kursus,Kursus Masak Sidoarjo Swansh Culinary Materi : 1.pengenalan dan penjelasan bahan 2.teknik dan cara menimbang 3.teknik dan cara membuat adonan dasar roti manis 4.teknik dan cara pengembangan dan pembentukan roti sederhana 5.membuat variasi roti:keju sosis selai coklat https://t.co/xE3e9rNy6F,Joy,0.40254801511764526
masak_kursus,Kursus Masak Sidoarjo Swansh Culinary Mau Punya Bisnis Tanpa Harus Banyak Mencoba Resep-Resep Yang Menguras Waktu Tenaga Biaya dan Pikiran Anda. Materi : 1. Es Teh 2. Teh Hangat 3. Minuman Rasa strowbery dan mangga 4. Simple sirup 5. Boba Brown sugar 6. Es jeruk https://t.co/dnAVj2IMMX,Sad,0.8431504964828491
masak_kursus,Tanpa Harus Banyak Mencoba Resep-Resep Yang Menguras Waktu Tenaga Biaya dan Pikiran Anda. *NASI TUMPENG* dan tips tips yang tidak akan anda dapatkan di Tempat kursus masak Lain https://t.co/3t053RMimf,Neutral,0.4437365233898163
masak_kursus,Kursus Masak Sidoarjo Swansh Culinary* *dengan materi* ▪︎Bacimut ▪︎saos Hot lava ▪︎Saos pinzza ▪︎saos pedas manis wijen Yukkk Daftar dan Action sekarang Juga!!! https://t.co/oyR2swTLPT,Neutral,0.5546596646308899
masak_kursus,Menerima Pesanan Nasi Kotak *dengan materi Nasi kotak* ▪︎Nasi putih ▪︎ayam bakar ▪︎kering tempe ▪︎tumisan sayur ▪︎Bali telor ▪︎Krupuk ▪︎perkedel kentang ▪︎Mie Yuk Action Sekarang ! Info dan pendaftaran Hub. Call Center: 0813 3111 0046 Admin 1: 0882 1726 8680 https://t.co/dXMy6sYoLa,Joy,0.613657534122467
