username,full_text,topic,predicted_label,probability_emotion
tigapuluhtigax,TIMNAS PRIA DAN WANITA MENANG + ERIK TEN HAG STAY,1,Joy,0.5740479230880737
sotongism,ngerasa ga sih sekarang timnas kalo main pakek jersey putih tuh aura menangnya naik drastis beda sama dulu kalo main pakek jersey putih nih pesimis duluan #TimnasDay,3,Neutral,0.2778317332267761
peanutkacang123,2 Sejarah Dicetak Timnas Indonesia Usai Ganyang Filipina STY Pelatih Pemecah Rekor. #TimNasDay https://t.co/nLxTrlEYx5.,3,Joy,0.27523747086524963
PKananku1927,@womensfootie_id Tinggal tmbah pemain diaspora bisa lah ini timnas putri bersaing di Asia ,1,Sad,0.28344160318374634
kangsil2012,Timnas Indonesia Vs Timnas Filipina 2-0 Indonesia Lolos ke Putaran Ketiga Kuaifikasi Piala Dunia 2026 https://t.co/if6QFIOQdd #sepakbola #IndonesiaFilipina #kualifikasipialadunia #TimnasIndonesia #TimnasFilipina #pssi,2,Neutral,0.4688705503940582
refnotrev,@amayzing__ @idextratime antara lu fomo timnas atau emang kaga ngerti sistem pot,8,Anger,0.2506793737411499
KimJongUncchhhh,@fahmiiiiii14 @idextratime Beliau ini literally mantan pemain timnas yg beneran orang bola. Lah yg duduk di vip malah artis2 ga jelas. Kesannya kek habis manis sepah dibuang njir,3,Sad,0.456430047750473
joyszeamays,Ternyata jodohnya sama Indo-Philiphine bukan Indo-Irak. Bonus liat perjuangan timnas lolos ke putaran ketiga : ),2,Joy,0.6553730368614197
DenSombedt,@StatsRawon Kyok e Malik Rivera ambek glison Costa soale Malik wes mari teko timnas Kari Poto ambk gwe vidio,3,Neutral,0.311892569065094
ilyasaihza_,Sareneng kitu timnas menang? Abi mah bodo amat,4,Anger,0.4121658205986023
RendyAf14,@OneSuccumb timnas kapan ya maen di bdg,7,Anger,0.2500566244125366
situmeangbennyy,Ternyata gini rasanya punya timnas jago,3,Joy,0.3427242934703827
Aryapratam19,@Iyangaprill Lawak emng org bandung ajg ni kontol lu semua pendukung Persib ajg ini timnas bung bukan dukung antar club gosa merasa klub lu hebat dari timnas jijik gua lihat komen penduduk Persib ni tolol,9,Anger,0.6045224666595459
Bolalob,Prediksi pembagian POT undian Round 3 Kualifikasi Piala Dunia 2026. Timnas Garuda masuk POT terakhir karena termasuk yang paling rendah ranking FIFA nya. Undian akan dilakukan 27 Juni mendatang. Ingin satu grup dengan siapa lob? #BolalobFootball https://t.co/fdmfDdUXTI,2,Joy,0.39264416694641113
iamultras,@SHLWT_FC @IraqFootballPod Bangke onion kids wkwkwk,2,Neutral,0.31755149364471436
AchsanNurh,Kalo kondisi rumput GBK masih jelek mendingan buat konser aja. Timnas pake stadion lain yg layak,6,Anger,0.2676435112953186
ndeyday,gua mimpi sekeluarga di kejar kejar timnas soalnya kita di jajah lagi kesel bgt sm si Rafa Rafa itu hampir mau gebukin gua pls lah ini mimpi tercape karena harus lari ngumpet ,4,Joy,0.40909111499786377
alfiqulizzi,Timnas menang EtH stay ,4,Joy,0.4782906174659729
irwan_saahh,@idextratime Tenang pak Haye setelah ini rumput gbk akan dibenerin lagi kok sampe bagus tapi ya buat konser bukan buat timnas,4,Sad,0.4076135754585266
Ekingsindo,Antisipasi ditinggal Frenkie de Jong yang cederanya tak kunjung membaik. Timnas Belanda memanggil pemain keturunan Indonesia Ian Maatsen dalam ajang EURO 2024 ini. . Kesempatan emas nih bang Ian. https://t.co/s40gJOuq3T,8,Joy,0.7169205546379089
fun_hanif,Temen gw yg biasanya tiap tahun ranjin nonton badminton di istora karna ueforia badminton lagi menurun tiba2 tahun ini nonton timnas bola Hahaha Ga apa2 yg penting dukung terus atllit2 Indonesia ke kancah dunia 🇮🇩,3,Joy,0.2538049817085266
najbi69,@kibooocil Bang tolong saya mau join sirkel tribun timnas carane piye,3,Anger,0.3202149271965027
abcdefitria,@MafiaWasit Maka dari itu dihimbau untuk lebih sadar diri gak usah berekspektasi berlebihan dan cukup mendukung Timnas supaya memberikan yang terbaik aja,1,Neutral,0.2634231150150299
Franzy_Lin,@SiaranBolaLive Setuju... sangat yakin timnas bisa main di luar GBK. 3 match terakhir jd bukti bahwa pengelola GBK sgt sgt tidak serius. Ayo pssi alternatif pasti ada.,4,Joy,0.3094500005245209
dimasirat,@weyeschae @UpdateBolabola komentator sama analis semalem enak banget. banyak ilmu yg bisa diambil. BP ngasih banyak pengalaman dia di timnas dulu dan analisa pertandingan nya keren dibandingkan RCTI mah.,3,Joy,0.9633731245994568
khoirul7779,@kegblgnunfaedh Gua mah semalam kesal saat pemain timnas Indonesia melingkar malah ada anang asanti nyanyi gak karuan bikin kesel,3,Anger,0.3691578805446625
ibnucssc19,@mchlrs_ @Indostransfer Bener aff mainin tim cadangan dah kek dimas drajad egy kiper adi satryo ferari ricky sama yance sayuri. Ini di timnas sekarang kek lapis ketiga nya Karna lapis 2 itu minimal sekelas asnawi arhan dan witan,3,Anger,0.3671894073486328
lifeofsep,Timnas menang Main futsal menang Obrolan semalam buta seru Bekal yang cukup untuk memulai pagi hari ini dengan senyuman semoga tetap ada sampai matahari tenggelam.,3,Joy,0.7699664235115051
idyllic48bola,@GilangTV @ndha_mella @Indostransfer Udah pernah coba nonton V+ pakai perantara RCTI+? Di tempat gw kebetulan aman2 aja bahkan saat Timnas main home sekalipun (udah nyobain waktu lawan Irak lancar2 aja pas lagi perjalanan pulang),2,Joy,0.6817598938941956
umardhan,@mas_triadhianto Congrats Timnas... tinggal mas @mas_triadhianto berjuang jadi Walkot Bekasi...semangaat mass,1,Anger,0.3244096040725708
berdoasblmtidur,Teringat Timnas jamam Simon saat lakoni Kualifikasi PilDun satu grup dengan Malay Thai Vietnam UEA namun gagal total tidak pernah menang sama sekali pun dapat 1 poin saat dilatih STY. Waktu cepat berlalu STY mengubah segalanya kini berhasil lolos round 3 pertama kali rayakan! https://t.co/yPqdUfHMIm,2,Joy,0.5310392379760742
udahpipis,NOOO TEN HAG STAY DI EMYU. SOUTHGATE KEKNYA GAK BAKAL DIPECAT DARI TIMNAS INGGRIS,3,Joy,0.8580539226531982
Generasiosing,@tempodotco Gapapa selagi mampu mengangkat performa Timnas Indonesia,3,Joy,0.46592143177986145
BrozovicAngga,@indosupporter Semoga semua pecinta timnas diberi berkah panjang umur,3,Neutral,0.34406954050064087
LissaSakura,Ya kalau ga di keep bisa lah ke Timnas Indonesia ETH hehehe,3,Anger,0.2442050576210022
hengponjaduul,@MAYT_Media wkwkwkwk sabaar sabaar yang penting timnas akhirnya menang,2,Joy,0.6980715990066528
aadityaherdian,@Indostransfer Bismillah nonton timnas bareng istri dan anak sekalian umroh. ,3,Joy,0.566379964351654
putrategar2709,Lolos ke babak ketiga World Cup Qualifiers lawan-lawan Timnas Indonesia tentu bakal jauh lebih berat. Karena itu lima laga kandang saat Indonesia dapat dukungan penuh suporter harus bisa dimaksimalkan dengan baik. #TimnasDay,2,Joy,0.8498595356941223
okezonenews,@MaartenPaes30 6 Pemain Keturunan Grade A yang Berpotensi Gabung Setelah Timnas Indonesia Lolos ke Babak Ketiga Kualifikasi Piala Dunia 2026 https://t.co/epxgcwjpEg,2,Joy,0.3208256959915161
