username,full_text,predicted_label,probability_emotion
AzahraDean19363,@infomalang selamat pagi min minta tolong infoin kursus mandarin yg budget mahasiswi di malang plstrimakasih,Neutral,0.9497392773628235
apiekluvdan,@danu_kata @kaveits First impression utk yg baru lulus kuliah spy dipanggil HR utk interview itu IPK kak. Baru dilihat sertifikat2 kursus dll. Dilihat lama kuliahnya aja bisa jadi concern HR koq,Joy,0.497638463973999
ataulalaa,Kursus Pendidikan Agama https://t.co/0YTwfKFUf0,Neutral,0.6051000952720642
dabudabu6969,@imminenotyours_ @innovacommunity Biasanya belajar nyetir di kursus nyetir dibawa ke tanah lapang. Diajari fungsi2 mobil &amp; diajari parkir,Anger,0.3711680769920349
dabudabu6969,@innovacommunity Paling bener ikut kursus dah,Joy,0.4290824830532074
SPELLhaechan,@DOHWANwarga @agenHAHAHA Gua kursus bahasa handy,Joy,0.4442710280418396
mksevent,Halo semuanya! Mau liburan kali ini jadi lebih produktif? Yuk gabung di kelas online bahasa asing yang bakal dimulai bulan Juli ini! Kursus bahasa inggris online Cara Daftar 1. Klik link di bio ig @ecotion.co atau bisa juga hub kami di WA (0882020967503) https://t.co/18w733Ui2d,Joy,0.6646847724914551
gabutajaheheheh,Hari pertama kursus gabisa tidur plis jangan tiba² kuis ,Anger,0.3636358082294464
dosm_johor,Puan Mazreha Ya akub Pengarah DOSM Johor berpeluang menyampaikan taklimat mengenai Banci Pertanian 2024 kepada peserta kursus teknologi pengendalian lepas tuai komoditi pisang bersempena Karnival Agromadani @ Pasar Tani Kekal Datin Halimah.,Neutral,0.9988947510719299
dosm_johor,TAKLIMAT BANCI PERTANIAN KEPADA PESERTA KURSUS TEKNOLOGI PENGENDALIAN LEPAS TUAI KOMODITI PISANG 29 JUN 2024 https://t.co/ootN2rksDV,Neutral,0.35741400718688965
faqihsyakiran,Tu penting nya education dik. Sila dapatkan kursus asas perniagaan anda di NTW by HRDcorp . Untuk maklumat lebih lanjut sila layari https://t.co/zd1JYYZr6q,Anger,0.32919594645500183
KosmikDebu49037,@ParadiseCoupl Ad kursus tato menato gk sih,Neutral,0.691196620464325
junmyeonicotton,Aku baru tahu non muslim ada kursus kawen macam muslim juga. Bezanya kita 2 hari pack. Die org 10 session (maybe per session 2 hrs. Not sure),Anger,0.6526063680648804
sunghoteknik,@keishastudy nggaak aku lagi kursus di kampung inggris,Neutral,0.574508547782898
PringGading92,@choymarkochoy Bener itu Gus...dr Walkot langsung Wapres ity berat jd lbh baik belajar level Gubernur dulu...syukur2 kalo mo magang dulu 6 - 12 bln sbg Gubernur. *eh seriusan beliau msh sempat kursus singkat leadership (mis. di Westpoint USA) 3 bln aja sdh lumayan banget,Anger,0.5465086698532104
rumah_kopii,Promo Kursus Barista Jadwal Bebas / Kelas Privat / Ke Lokasi Peserta Cek Profil Kami https://t.co/CadT1QDlFX https://t.co/6pnsECg0E2,Neutral,0.5153638124465942
AndiEnvio,@UpdateBolabola ....utk proyek jangka panjang sepertinya PSSI perlu mendatangkan pelatih akademi terbaik Eredivisie utk menyelaraskan dg byk bakat diaspora di U-19 ini yg bkl jadi pemain masa depan di timnas senior...Coach IS Bima dkk mantapkan utk ambil kursus dlu...,Neutral,0.3489026725292206
arabtenang,Oke gua baru ngeh kalau gua lg ngalamin krisis identitas perihal karir. Gua s1 s2 ambil jurusan manajemen keuangan. Mau mulai kerja lagi di bagian finance &amp; accounting. Tapi gua ngambil kursus brevet AB. Kekkk .. apasiiiiii ,Neutral,0.4330277442932129
